NAMESPACE              NAME                                        READY   UP-TO-DATE   AVAILABLE   AGE
quant-extensions       cloud-worker                                1/1     1            1           447d
quant-extensions       in-networkasset                             1/1     1            1           446d
quant-extensions       in-networkasset-intility                    0/1     1            0           38d
quant-extensions       in-workorder                                1/1     1            1           446d
quant-extensions       in-workorder-intility                       0/1     1            0           38d
quant-extensions       in-workorderreport                          1/1     1            1           446d
quant-extensions       in-workorderreport-intility                 0/1     1            0           98d
sesam-extensions       aosjekk                                     1/1     1            1           333d
sesam-extensions       in-telefoni                                 1/1     1            1           371d
sesam                  kafka-consumer                              1/1     1            1           39d
sesam                  kafka-publisher                             1/1     1            1           28d
slick                  slick-api                                   1/1     1            1           375d
slick                  slick-web                                   1/1     1            1           374d
sluttbrukeravbrudd     api                                         1/1     1            1           364d
sluttbrukeravbrudd     calculator                                  1/1     1            1           364d
sluttbrukeravbrudd     ui                                          1/1     1            1           363d
sms                    sms-broker-poll                             1/1     1            1           376d
sms                    sms-sender                                  1/1     1            1           377d
wms-extensions         in-customermeterreading                     1/1     1            1           437d
wms-extensions         in-customermeterreading-intility            1/1     1            1           97d
wms-extensions         in-workorder                                1/1     1            1           437d
wms-extensions         in-workorder-intility                       1/1     1            1           97d
